id,c_postal,settlement,settlement_type,township,state,city
1,44100,Guadalajara Centro,Colonia,Guadalajara,Jalisco,Guadalajara
2,44110,Vallarta Poniente,Fraccionamiento,Guadalajara,Jalisco,Guadalajara
3,44130,Arcos Vallarta,Colonia,Guadalajara,Jalisco,Guadalajara
4,44130,Arcos,Fraccionamiento,Guadalajara,Jalisco,Guadalajara
5,44140,Obrera Centro,Colonia,Guadalajara,Jalisco,Guadalajara
6,44150,Lafayette,Colonia,Guadalajara,Jalisco,Guadalajara
7,44150,Barrera,Colonia,Guadalajara,Jalisco,Guadalajara
8,44158,Deitz,Colonia,Guadalajara,Jalisco,Guadalajara
9,44160,Americana,Colonia,Guadalajara,Jalisco,Guadalajara
10,44170,San Antonio,Barrio,Guadalajara,Jalisco,Guadalajara
11,44180,Mexicaltzingo,Barrio,Guadalajara,Jalisco,Guadalajara
12,44190,Moderna,Colonia,Guadalajara,Jalisco,Guadalajara
13,44200,Capilla de Jesus,Barrio,Guadalajara,Jalisco,Guadalajara
14,44200,El Santuario,Barrio,Guadalajara,Jalisco,Guadalajara
15,44200,Sagrada Familia,Barrio,Guadalajara,Jalisco,Guadalajara
16,44200,Artesanos,Colonia,Guadalajara,Jalisco,Guadalajara
17,44210,Jardines del Country 2a. Seccion,Fraccionamiento,Guadalajara,Jalisco,Guadalajara
18,44210,Jardines del Country,Fraccionamiento,Guadalajara,Jalisco,Guadalajara
19,44214,Universidad,Unidad habitacional,Guadalajara,Jalisco,Guadalajara
20,44215,Parian,Condominio,Guadalajara,Jalisco,Guadalajara
21,44216,Del Trabajo CTM,Unidad habitacional,Guadalajara,Jalisco,Guadalajara
22,44216,Fidel Velazquez,Unidad habitacional,Guadalajara,Jalisco,Guadalajara
23,44217,Residencial Vallarta Country,Conjunto habitacional,Guadalajara,Jalisco,Guadalajara
24,44218,Fabrica de Atemajac,Fraccionamiento,Guadalajara,Jalisco,Guadalajara
25,44219,Casa Hogar CTM,Unidad habitacional,Guadalajara,Jalisco,Guadalajara
26,44220,Santa Elena Alcalde Oriente,Fraccionamiento,Guadalajara,Jalisco,Guadalajara
27,44220,Simon Bolivar,Unidad habitacional,Guadalajara,Jalisco,Guadalajara
28,44220,Santa Monica,Fraccionamiento,Guadalajara,Jalisco,Guadalajara
29,44220,Guadalupana Norte,Colonia,Guadalajara,Jalisco,Guadalajara
30,44220,Guadalupana Sur,Colonia,Guadalajara,Jalisco,Guadalajara
31,44220,Santa Elena Alcalde Poniente,Colonia,Guadalajara,Jalisco,Guadalajara
